Word,POS_Tag,Coarse_Tag,Category,Lemma,Tag_Meaning,Sentence_No
slowing,VBG,VERB,Verb,slow,"verb, gerund or present participle",32
wildfire,NN,NOUN,Noun,wildfire,"noun, singular or mass",32
burned,VBN,VERB,Verb,burn,"verb, past participle",32
homes,NNS,NOUN,Noun,home,"noun, plural",32
forced,VBD,VERB,Verb,force,"verb, past tense",32
tens,NNS,NOUN,Noun,ten,"noun, plural",32
thousands,NNS,NOUN,Noun,thousand,"noun, plural",32
people,NNS,NOUN,Noun,people,"noun, plural",32
evacuate,VB,VERB,Verb,evacuate,"verb, base form",32
West,NNP,PROPN,Proper Noun,west,"noun, proper singular",33
fire,NN,NOUN,Noun,fire,"noun, singular or mass",33
investigators,NNS,NOUN,Noun,investigator,"noun, plural",33
believe,VBP,VERB,Verb,believe,"verb, non-3rd person singular present",33
human,NN,NOUN,Noun,human,"noun, singular or mass",33
caused,VBN,VERB,Verb,cause,"verb, past participle",33
NPR,NNP,PROPN,Proper Noun,npr,"noun, proper singular",34
Kirk,NNP,PROPN,Proper Noun,kirk,"noun, proper singular",34
Siegler,NNP,PROPN,Proper Noun,siegler,"noun, proper singular",34
reports,VBZ,VERB,Verb,report,"verb, 3rd person singular present",34
blazes,NNS,NOUN,Noun,blaze,"noun, plural",34
fires,NNS,NOUN,Noun,fire,"noun, plural",34
KIRK,NNP,PROPN,Proper Noun,kirk,"noun, proper singular",35
SIEGLER,NNP,PROPN,Proper Noun,siegler,"noun, proper singular",35
BYLINE,NN,NOUN,Noun,byline,"noun, singular or mass",35
days,NNS,NOUN,Noun,day,"noun, plural",36
Old,NNP,PROPN,Proper Noun,old,"noun, proper singular",36
Trails,NNP,PROPN,Proper Noun,trails,"noun, proper singular",36
Fire,NNP,PROPN,Proper Noun,fire,"noun, proper singular",36
burned,VBD,VERB,Verb,burn,"verb, past tense",36
hundreds,NNS,NOUN,Noun,hundred,"noun, plural",36
homes,NNS,NOUN,Noun,home,"noun, plural",36
Spokane,NNP,PROPN,Proper Noun,spokane,"noun, proper singular",36
County,NNP,PROPN,Proper Noun,county,"noun, proper singular",36
Washington,NNP,PROPN,Proper Noun,washington,"noun, proper singular",36
sheriff,NN,NOUN,Noun,sheriff,"noun, singular or mass",36
John,NNP,PROPN,Proper Noun,john,"noun, proper singular",36
